Issue,year,value
Healthcare,2019-08-22,9655
Economic Inequality,2019-08-22,6094
Civil Rights & Discrimination,2019-08-22,8551
Labor Rights ,2019-08-22,6921
Education & Student Debt,2019-08-22,6445
Economy,2019-08-23,19009
Climate and Energy,2019-08-23,41228
Defense,2019-08-23,3435
Taxes,2019-08-23,6219
Poverty,2019-08-23,3661
Healthcare,2019-08-23,12564
Economic Inequality,2019-08-23,5692
Civil Rights & Discrimination,2019-08-23,8727
Labor Rights ,2019-08-23,1931
Education & Student Debt,2019-08-23,4589
Economy,2019-08-24,10532
Climate and Energy,2019-08-24,24200
Defense,2019-08-24,7824
Taxes,2019-08-24,2808
Poverty,2019-08-24,2482
Healthcare,2019-08-24,11410
Economic Inequality,2019-08-24,11836
Civil Rights & Discrimination,2019-08-24,8978
Labor Rights ,2019-08-24,1655
Education & Student Debt,2019-08-24,8902
Economy,2019-08-25,11235
Climate and Energy,2019-08-25,15498
Defense,2019-08-25,4865
Taxes,2019-08-25,7473
Poverty,2019-08-25,1905
Healthcare,2019-08-25,6420
Economic Inequality,2019-08-25,4639
Civil Rights & Discrimination,2019-08-25,4890
Labor Rights ,2019-08-25,4514
Education & Student Debt,2019-08-25,11159
Economy,2019-08-26,15172
Climate and Energy,2019-08-26,17780
Defense,2019-08-26,4815
Taxes,2019-08-26,5115
Poverty,2019-08-26,1554
Healthcare,2019-08-26,7648
Economic Inequality,2019-08-26,6620
Civil Rights & Discrimination,2019-08-26,3836
Labor Rights ,2019-08-26,3912
Education & Student Debt,2019-08-26,13918
Economy,2019-08-27,14094
Climate and Energy,2019-08-27,13542
Defense,2019-08-27,3009
Taxes,2019-08-27,5667
Poverty,2019-08-27,9855
Healthcare,2019-08-27,10407
Economic Inequality,2019-08-27,2833
Civil Rights & Discrimination,2019-08-27,8727
Labor Rights ,2019-08-27,3260
Education & Student Debt,2019-08-27,7548
Economy,2019-08-28,11937
Climate and Energy,2019-08-28,7197
Defense,2019-08-28,7623
Taxes,2019-08-28,5316
Poverty,2019-08-28,12840
Healthcare,2019-08-28,9278
Economic Inequality,2019-08-28,6194
Civil Rights & Discrimination,2019-08-28,12313
Labor Rights ,2019-08-28,1554
Education & Student Debt,2019-08-28,9228
Economy,2019-08-29,9504
Climate and Energy,2019-08-29,8601
Defense,2019-08-29,16401
Taxes,2019-08-29,5742
Poverty,2019-08-29,7648
Healthcare,2019-08-29,4990
Economic Inequality,2019-08-29,15623
Civil Rights & Discrimination,2019-08-29,8551
Labor Rights ,2019-08-29,1855
Education & Student Debt,2019-08-29,6094
Economy,2019-08-30,13291
Climate and Energy,2019-08-30,14294
Defense,2019-08-30,10808
Taxes,2019-08-30,10307
Poverty,2019-08-30,3410
Healthcare,2019-08-30,5592
Economic Inequality,2019-08-30,5742
Civil Rights & Discrimination,2019-08-30,5492
Labor Rights ,2019-08-30,8351
Education & Student Debt,2019-08-30,9278
Economy,2019-08-31,11661
Climate and Energy,2019-08-31,6796
Defense,2019-08-31,4413
Taxes,2019-08-31,6971
Poverty,2019-08-31,2482
Healthcare,2019-08-31,6219
Economic Inequality,2019-08-31,9304
Civil Rights & Discrimination,2019-08-31,7874
Labor Rights ,2019-08-31,4815
Education & Student Debt,2019-08-31,9003
Economy,2019-09-01,6921
Climate and Energy,2019-09-01,16175
Defense,2019-09-01,3059
Taxes,2019-09-01,4137
Poverty,2019-09-01,2006
Healthcare,2019-09-01,6244
Economic Inequality,2019-09-01,1880
Civil Rights & Discrimination,2019-09-01,6219
Labor Rights ,2019-09-01,1504
Education & Student Debt,2019-09-01,6344
Economy,2019-09-02,9931
Climate and Energy,2019-09-02,17730
Defense,2019-09-02,2934
Taxes,2019-09-02,5567
Poverty,2019-09-02,3210
Healthcare,2019-09-02,10407
Economic Inequality,2019-09-02,677
Civil Rights & Discrimination,2019-09-02,3335
Labor Rights ,2019-09-02,6821
Education & Student Debt,2019-09-02,2658
Economy,2019-09-03,10683
Climate and Energy,2019-09-03,14420
Defense,2019-09-03,1956
Taxes,2019-09-03,3586
Poverty,2019-09-03,6394
Healthcare,2019-09-03,14219
Economic Inequality,2019-09-03,802
Civil Rights & Discrimination,2019-09-03,10457
Labor Rights ,2019-09-03,4965
Education & Student Debt,2019-09-03,4639
Economy,2019-09-04,20739
Climate and Energy,2019-09-04,77065
Defense,2019-09-04,7297
Taxes,2019-09-04,8100
Poverty,2019-09-04,5517
Healthcare,2019-09-04,11561
Economic Inequality,2019-09-04,1053
Civil Rights & Discrimination,2019-09-04,7824
Labor Rights ,2019-09-04,1504
Education & Student Debt,2019-09-04,4990
Economy,2019-09-05,26257
Climate and Energy,2019-09-05,67184
Defense,2019-09-05,6470
Taxes,2019-09-05,8576
Poverty,2019-09-05,5517
Healthcare,2019-09-05,11310
Economic Inequality,2019-09-05,1178
Civil Rights & Discrimination,2019-09-05,8702
Labor Rights ,2019-09-05,1655
Education & Student Debt,2019-09-05,10156
Economy,2019-09-06,19335
Climate and Energy,2019-09-06,21567
Defense,2019-09-06,13567
Taxes,2019-09-06,5993
Poverty,2019-09-06,5166
Healthcare,2019-09-06,9379
Economic Inequality,2019-09-06,426
Civil Rights & Discrimination,2019-09-06,7373
Labor Rights ,2019-09-06,1078
Education & Student Debt,2019-09-06,25253
Economy,2019-09-07,13642
Climate and Energy,2019-09-07,11786
Defense,2019-09-07,11084
Taxes,2019-09-07,4163
Poverty,2019-09-07,2482
Healthcare,2019-09-07,5893
Economic Inequality,2019-09-07,1304
Civil Rights & Discrimination,2019-09-07,5266
Labor Rights ,2019-09-07,626
Education & Student Debt,2019-09-07,21090
Economy,2019-09-08,8401
Climate and Energy,2019-09-08,6796
Defense,2019-09-08,4940
Taxes,2019-09-08,3962
Poverty,2019-09-08,2407
Healthcare,2019-09-08,7874
Economic Inequality,2019-09-08,952
Civil Rights & Discrimination,2019-09-08,12739
Labor Rights ,2019-09-08,1103
Education & Student Debt,2019-09-08,16927
Economy,2019-09-09,16702
Climate and Energy,2019-09-09,6219
Defense,2019-09-09,3285
Taxes,2019-09-09,5141
Poverty,2019-09-09,2909
Healthcare,2019-09-09,7097
Economic Inequality,2019-09-09,476
Civil Rights & Discrimination,2019-09-09,7623
Labor Rights ,2019-09-09,1053
Education & Student Debt,2019-09-09,16727
Economy,2019-09-10,11260
Climate and Energy,2019-09-10,6319
Defense,2019-09-10,6746
Taxes,2019-09-10,7322
Poverty,2019-09-10,1730
Healthcare,2019-09-10,12288
Economic Inequality,2019-09-10,4990
Civil Rights & Discrimination,2019-09-10,9228
Labor Rights ,2019-09-10,927
Education & Student Debt,2019-09-10,7899
Economy,2019-09-11,11811
Climate and Energy,2019-09-11,3084
Defense,2019-09-11,3636
Taxes,2019-09-11,7021
Poverty,2019-09-11,3661
Healthcare,2019-09-11,8100
Economic Inequality,2019-09-11,5667
Civil Rights & Discrimination,2019-09-11,8175
Labor Rights ,2019-09-11,802
Education & Student Debt,2019-09-11,5667
Economy,2019-09-12,46670
Climate and Energy,2019-09-12,22946
Defense,2019-09-12,33304
Taxes,2019-09-12,31097
Poverty,2019-09-12,13843
Healthcare,2019-09-12,75159
Economic Inequality,2019-09-12,5893
Civil Rights & Discrimination,2019-09-12,50206
Labor Rights ,2019-09-12,1855
Education & Student Debt,2019-09-12,50583
Economy,2019-09-13,20589
Climate and Energy,2019-09-13,8852
Defense,2019-09-13,17605
Taxes,2019-09-13,25153
Poverty,2019-09-13,7297
Healthcare,2019-09-13,50031
Economic Inequality,2019-09-13,1579
Civil Rights & Discrimination,2019-09-13,43561
Labor Rights ,2019-09-13,1354
Education & Student Debt,2019-09-13,36940
Economy,2019-09-14,15197
Climate and Energy,2019-09-14,4714
Defense,2019-09-14,6620
Taxes,2019-09-14,29316
Poverty,2019-09-14,4714
Healthcare,2019-09-14,25228
Economic Inequality,2019-09-14,1153
Civil Rights & Discrimination,2019-09-14,19184
Labor Rights ,2019-09-14,1956
Education & Student Debt,2019-09-14,11109
Economy,2019-09-15,16200
Climate and Energy,2019-09-15,16827
Defense,2019-09-15,9956
Taxes,2019-09-15,14670
Poverty,2019-09-15,4890
Healthcare,2019-09-15,21065
Economic Inequality,2019-09-15,978
Civil Rights & Discrimination,2019-09-15,18633
Labor Rights ,2019-09-15,1454
Education & Student Debt,2019-09-15,8025
Economy,2019-09-16,18357
Climate and Energy,2019-09-16,8150
Defense,2019-09-16,21065
Taxes,2019-09-16,16150
Poverty,2019-09-16,3210
Healthcare,2019-09-16,11711
Economic Inequality,2019-09-16,1755
Civil Rights & Discrimination,2019-09-16,12489
Labor Rights ,2019-09-16,3210
Education & Student Debt,2019-09-16,3736
Economy,2019-09-17,14420
Climate and Energy,2019-09-17,6595
Defense,2019-09-17,14620
Taxes,2019-09-17,16225
Poverty,2019-09-17,3937
Healthcare,2019-09-17,11862
Economic Inequality,2019-09-17,3184
Civil Rights & Discrimination,2019-09-17,7473
Labor Rights ,2019-09-17,6344
Education & Student Debt,2019-09-17,5943
Economy,2019-09-18,15398
Climate and Energy,2019-09-18,4789
Defense,2019-09-18,5843
Taxes,2019-09-18,17454
Poverty,2019-09-18,8652
Healthcare,2019-09-18,18357
Economic Inequality,2019-09-18,1278
Civil Rights & Discrimination,2019-09-18,9504
Labor Rights ,2019-09-18,6219
Education & Student Debt,2019-09-18,9504
Economy,2019-09-19,15598
Climate and Energy,2019-09-19,14721
Defense,2019-09-19,4890
Taxes,2019-09-19,12263
Poverty,2019-09-19,4739
Healthcare,2019-09-19,18532
Economic Inequality,2019-09-19,2683
Civil Rights & Discrimination,2019-09-19,13492
Labor Rights ,2019-09-19,4313
Education & Student Debt,2019-09-19,10783
Economy,2019-09-20,20539
Climate and Energy,2019-09-20,29742
Defense,2019-09-20,7021
Taxes,2019-09-20,21391
Poverty,2019-09-20,2608
Healthcare,2019-09-20,10006
Economic Inequality,2019-09-20,9329
Civil Rights & Discrimination,2019-09-20,16326
Labor Rights ,2019-09-20,5015
Education & Student Debt,2019-09-20,10156
Economy,2019-09-21,14470
Climate and Energy,2019-09-21,11034
Defense,2019-09-21,7322
Taxes,2019-09-21,22144
Poverty,2019-09-21,4363
Healthcare,2019-09-21,10206
Economic Inequality,2019-09-21,5943
Civil Rights & Discrimination,2019-09-21,14319
Labor Rights ,2019-09-21,3460
Education & Student Debt,2019-09-21,6319
Economy,2019-09-22,21517
Climate and Energy,2019-09-22,7949
Defense,2019-09-22,6319
Taxes,2019-09-22,14896
Poverty,2019-09-22,4589
Healthcare,2019-09-22,8376
Economic Inequality,2019-09-22,1429
Civil Rights & Discrimination,2019-09-22,10006
Labor Rights ,2019-09-22,1605
Education & Student Debt,2019-09-22,19611
Economy,2019-09-23,21692
Climate and Energy,2019-09-23,19034
Defense,2019-09-23,7347
Taxes,2019-09-23,10808
Poverty,2019-09-23,3736
Healthcare,2019-09-23,13517
Economic Inequality,2019-09-23,1103
Civil Rights & Discrimination,2019-09-23,12263
Labor Rights ,2019-09-23,2031
Education & Student Debt,2019-09-23,11059
Economy,2019-09-24,18683
Climate and Energy,2019-09-24,18156
Defense,2019-09-24,12589
Taxes,2019-09-24,32978
Poverty,2019-09-24,6996
Healthcare,2019-09-24,10332
Economic Inequality,2019-09-24,14645
Civil Rights & Discrimination,2019-09-24,6821
Labor Rights ,2019-09-24,2056
Education & Student Debt,2019-09-24,8150
Economy,2019-09-25,19736
Climate and Energy,2019-09-25,8326
Defense,2019-09-25,25454
Taxes,2019-09-25,14946
Poverty,2019-09-25,3962
Healthcare,2019-09-25,11711
Economic Inequality,2019-09-25,6144
Civil Rights & Discrimination,2019-09-25,5943
Labor Rights ,2019-09-25,2031
Education & Student Debt,2019-09-25,5065
Economy,2019-09-26,12012
Climate and Energy,2019-09-26,3611
Defense,2019-09-26,6896
Taxes,2019-09-26,21467
Poverty,2019-09-26,2658
Healthcare,2019-09-26,20789
Economic Inequality,2019-09-26,3360
Civil Rights & Discrimination,2019-09-26,4890
Labor Rights ,2019-09-26,1178
Education & Student Debt,2019-09-26,10056
Economy,2019-09-27,17128
Climate and Energy,2019-09-27,4815
Defense,2019-09-27,4438
Taxes,2019-09-27,35034
Poverty,2019-09-27,1880
Healthcare,2019-09-27,19761
Economic Inequality,2019-09-27,2532
Civil Rights & Discrimination,2019-09-27,4689
Labor Rights ,2019-09-27,1153
Education & Student Debt,2019-09-27,7548
Economy,2019-09-28,12137
Climate and Energy,2019-09-28,4639
Defense,2019-09-28,3385
Taxes,2019-09-28,18131
Poverty,2019-09-28,6595
Healthcare,2019-09-28,14821
Economic Inequality,2019-09-28,1454
Civil Rights & Discrimination,2019-09-28,8476
Labor Rights ,2019-09-28,1128
Education & Student Debt,2019-09-28,7749
Economy,2019-09-29,8501
Climate and Energy,2019-09-29,12087
Defense,2019-09-29,4915
Taxes,2019-09-29,13567
Poverty,2019-09-29,2608
Healthcare,2019-09-29,13216
Economic Inequality,2019-09-29,3460
Civil Rights & Discrimination,2019-09-29,10708
Labor Rights ,2019-09-29,952
Education & Student Debt,2019-09-29,9479
Economy,2019-09-30,10708
Climate and Energy,2019-09-30,6946
Defense,2019-09-30,8150
Taxes,2019-09-30,15448
Poverty,2019-09-30,2407
Healthcare,2019-09-30,8275
Economic Inequality,2019-09-30,2432
Civil Rights & Discrimination,2019-09-30,6746
Labor Rights ,2019-09-30,1253
Education & Student Debt,2019-09-30,6445
Economy,2019-10-01,14369
Climate and Energy,2019-10-01,2608
Defense,2019-10-01,6595
Taxes,2019-10-01,11460
Poverty,2019-10-01,4714
Healthcare,2019-10-01,6746
Economic Inequality,2019-10-01,16200
Civil Rights & Discrimination,2019-10-01,5517
Labor Rights ,2019-10-01,2833
Education & Student Debt,2019-10-01,14771
Economy,2019-10-02,11310
Climate and Energy,2019-10-02,2984
Defense,2019-10-02,4238
Taxes,2019-10-02,10031
Poverty,2019-10-02,4238
Healthcare,2019-10-02,39949
Economic Inequality,2019-10-02,4489
Civil Rights & Discrimination,2019-10-02,5642
Labor Rights ,2019-10-02,1354
Education & Student Debt,2019-10-02,6420
Economy,2019-10-03,15398
Climate and Energy,2019-10-03,4689
Defense,2019-10-03,14043
Taxes,2019-10-03,13266
Poverty,2019-10-03,3009
Healthcare,2019-10-03,22244
Economic Inequality,2019-10-03,1203
Civil Rights & Discrimination,2019-10-03,6018
Labor Rights ,2019-10-03,2031
Education & Student Debt,2019-10-03,4037
Economy,2019-10-04,16827
Climate and Energy,2019-10-04,3912
Defense,2019-10-04,15373
Taxes,2019-10-04,9379
Poverty,2019-10-04,4865
Healthcare,2019-10-04,9554
Economic Inequality,2019-10-04,777
Civil Rights & Discrimination,2019-10-04,5893
Labor Rights ,2019-10-04,1755
Education & Student Debt,2019-10-04,6269
Economy,2019-10-05,10131
Climate and Energy,2019-10-05,3059
Defense,2019-10-05,16852
Taxes,2019-10-05,8175
Poverty,2019-10-05,3561
Healthcare,2019-10-05,14470
Economic Inequality,2019-10-05,852
Civil Rights & Discrimination,2019-10-05,10106
Labor Rights ,2019-10-05,5868
Education & Student Debt,2019-10-05,9304
Economy,2019-10-06,8702
Climate and Energy,2019-10-06,6420
Defense,2019-10-06,3435
Taxes,2019-10-06,9529
Poverty,2019-10-06,7398
Healthcare,2019-10-06,17630
Economic Inequality,2019-10-06,2482
Civil Rights & Discrimination,2019-10-06,5316
Labor Rights ,2019-10-06,3887
Education & Student Debt,2019-10-06,8050
Economy,2019-10-07,10583
Climate and Energy,2019-10-07,3410
Defense,2019-10-07,12213
Taxes,2019-10-07,24752
Poverty,2019-10-07,3335
Healthcare,2019-10-07,8250
Economic Inequality,2019-10-07,2131
Civil Rights & Discrimination,2019-10-07,6319
Labor Rights ,2019-10-07,2282
Education & Student Debt,2019-10-07,10307
Economy,2019-10-08,12614
Climate and Energy,2019-10-08,4764
Defense,2019-10-08,7724
Taxes,2019-10-08,19435
Poverty,2019-10-08,1905
Healthcare,2019-10-08,4739
Economic Inequality,2019-10-08,1153
Civil Rights & Discrimination,2019-10-08,13893
Labor Rights ,2019-10-08,1128
Education & Student Debt,2019-10-08,14495
Economy,2019-10-09,9379
Climate and Energy,2019-10-09,4940
Defense,2019-10-09,15623
Taxes,2019-10-09,28815
Poverty,2019-10-09,2106
Healthcare,2019-10-09,11159
Economic Inequality,2019-10-09,4037
Civil Rights & Discrimination,2019-10-09,8451
Labor Rights ,2019-10-09,1680
Education & Student Debt,2019-10-09,12840
Economy,2019-10-10,11661
Climate and Energy,2019-10-10,7047
Defense,2019-10-10,18457
Taxes,2019-10-10,19235
Poverty,2019-10-10,4539
Healthcare,2019-10-10,14821
Economic Inequality,2019-10-10,3034
Civil Rights & Discrimination,2019-10-10,34507
Labor Rights ,2019-10-10,1931
Education & Student Debt,2019-10-10,7373
Economy,2019-10-11,5968
Climate and Energy,2019-10-11,6946
Defense,2019-10-11,5216
Taxes,2019-10-11,13542
Poverty,2019-10-11,4990
Healthcare,2019-10-11,7498
Economic Inequality,2019-10-11,3184
Civil Rights & Discrimination,2019-10-11,43235
Labor Rights ,2019-10-11,626
Education & Student Debt,2019-10-11,4112
Economy,2019-10-12,8075
Climate and Energy,2019-10-12,3285
Defense,2019-10-12,7699
Taxes,2019-10-12,7648
Poverty,2019-10-12,1855
Healthcare,2019-10-12,5918
Economic Inequality,2019-10-12,1304
Civil Rights & Discrimination,2019-10-12,19235
Labor Rights ,2019-10-12,927
Education & Student Debt,2019-10-12,3686
Economy,2019-10-13,9454
Climate and Energy,2019-10-13,3235
Defense,2019-10-13,11084
Taxes,2019-10-13,11435
Poverty,2019-10-13,2708
Healthcare,2019-10-13,7297
Economic Inequality,2019-10-13,1630
Civil Rights & Discrimination,2019-10-13,20012
Labor Rights ,2019-10-13,1504
Education & Student Debt,2019-10-13,10683
Economy,2019-10-14,10733
Climate and Energy,2019-10-14,3235
Defense,2019-10-14,9855
Taxes,2019-10-14,21166
Poverty,2019-10-14,2407
Healthcare,2019-10-14,7949
Economic Inequality,2019-10-14,2006
Civil Rights & Discrimination,2019-10-14,18633
Labor Rights ,2019-10-14,1253
Education & Student Debt,2019-10-14,5191
Economy,2019-10-15,73855
Climate and Energy,2019-10-15,25755
Defense,2019-10-15,39072
Taxes,2019-10-15,128727
Poverty,2019-10-15,12413
Healthcare,2019-10-15,70119
Economic Inequality,2019-10-15,37768
Civil Rights & Discrimination,2019-10-15,29567
Labor Rights ,2019-10-15,7924
Education & Student Debt,2019-10-15,19360
Economy,2019-10-16,51260
Climate and Energy,2019-10-16,31122
Defense,2019-10-16,29115
Taxes,2019-10-16,93943
Poverty,2019-10-16,9504
Healthcare,2019-10-16,55498
Economic Inequality,2019-10-16,15799
Civil Rights & Discrimination,2019-10-16,34833
Labor Rights ,2019-10-16,9605
Education & Student Debt,2019-10-16,17981
Economy,2019-10-17,16275
Climate and Energy,2019-10-17,7874
Defense,2019-10-17,10432
Taxes,2019-10-17,26783
Poverty,2019-10-17,1931
Healthcare,2019-10-17,21492
Economic Inequality,2019-10-17,1855
Civil Rights & Discrimination,2019-10-17,12489
Labor Rights ,2019-10-17,3536
Education & Student Debt,2019-10-17,7498
Economy,2019-10-18,20313
Climate and Energy,2019-10-18,11285
Defense,2019-10-18,28514
Taxes,2019-10-18,19962
Poverty,2019-10-18,1855
Healthcare,2019-10-18,16576
Economic Inequality,2019-10-18,4689
Civil Rights & Discrimination,2019-10-18,20764
Labor Rights ,2019-10-18,3059
Education & Student Debt,2019-10-18,38219
Economy,2019-10-19,14068
Climate and Energy,2019-10-19,8952
Defense,2019-10-19,18733
Taxes,2019-10-19,11536
Poverty,2019-10-19,2407
Healthcare,2019-10-19,12815
Economic Inequality,2019-10-19,2181
Civil Rights & Discrimination,2019-10-19,32351
Labor Rights ,2019-10-19,22570
Education & Student Debt,2019-10-19,13993
Economy,2019-10-20,16175
Climate and Energy,2019-10-20,8501
Defense,2019-10-20,10934
Taxes,2019-10-20,13918
Poverty,2019-10-20,6144
Healthcare,2019-10-20,16401
Economic Inequality,2019-10-20,2733
Civil Rights & Discrimination,2019-10-20,15498
Labor Rights ,2019-10-20,13768
Education & Student Debt,2019-10-20,10758
Economy,2019-10-21,20514
Climate and Energy,2019-10-21,3661
Defense,2019-10-21,14495
Taxes,2019-10-21,13416
Poverty,2019-10-21,13542
Healthcare,2019-10-21,29492
Economic Inequality,2019-10-21,3510
Civil Rights & Discrimination,2019-10-21,18959
Labor Rights ,2019-10-21,6545
Education & Student Debt,2019-10-21,14746
Economy,2019-10-22,13141
Climate and Energy,2019-10-22,4438
Defense,2019-10-22,15247
Taxes,2019-10-22,10031
Poverty,2019-10-22,6144
Healthcare,2019-10-22,19862
Economic Inequality,2019-10-22,1755
Civil Rights & Discrimination,2019-10-22,22470
Labor Rights ,2019-10-22,3962
Education & Student Debt,2019-10-22,11134
Economy,2019-10-23,17780
Climate and Energy,2019-10-23,6921
Defense,2019-10-23,31373
Taxes,2019-10-23,8401
Poverty,2019-10-23,3335
Healthcare,2019-10-23,14721
Economic Inequality,2019-10-23,4890
Civil Rights & Discrimination,2019-10-23,16551
Labor Rights ,2019-10-23,1855
Education & Student Debt,2019-10-23,10432
Economy,2019-10-24,16050
Climate and Energy,2019-10-24,11987
Defense,2019-10-24,19761
Taxes,2019-10-24,6896
Poverty,2019-10-24,4940
Healthcare,2019-10-24,11310
Economic Inequality,2019-10-24,1830
Civil Rights & Discrimination,2019-10-24,8626
Labor Rights ,2019-10-24,2658
Education & Student Debt,2019-10-24,6796
Economy,2019-10-25,12564
Climate and Energy,2019-10-25,13115
Defense,2019-10-25,6344
Taxes,2019-10-25,7598
Poverty,2019-10-25,2758
Healthcare,2019-10-25,78169
Economic Inequality,2019-10-25,1830
Civil Rights & Discrimination,2019-10-25,5617
Labor Rights ,2019-10-25,1981
Education & Student Debt,2019-10-25,12288
Economy,2019-10-26,9630
Climate and Energy,2019-10-26,8175
Defense,2019-10-26,3159
Taxes,2019-10-26,11034
Poverty,2019-10-26,4137
Healthcare,2019-10-26,38896
Economic Inequality,2019-10-26,1680
Civil Rights & Discrimination,2019-10-26,4890
Labor Rights ,2019-10-26,1680
Education & Student Debt,2019-10-26,17855
Economy,2019-10-27,9404
Climate and Energy,2019-10-27,5366
Defense,2019-10-27,12188
Taxes,2019-10-27,13893
Poverty,2019-10-27,7347
Healthcare,2019-10-27,9655
Economic Inequality,2019-10-27,1379
Civil Rights & Discrimination,2019-10-27,5692
Labor Rights ,2019-10-27,1228
Education & Student Debt,2019-10-27,10482
Economy,2019-10-28,13467
Climate and Energy,2019-10-28,10432
Defense,2019-10-28,14620
Taxes,2019-10-28,20789
Poverty,2019-10-28,4714
Healthcare,2019-10-28,10457
Economic Inequality,2019-10-28,1981
Civil Rights & Discrimination,2019-10-28,6470
Labor Rights ,2019-10-28,2708
Education & Student Debt,2019-10-28,9579
Economy,2019-10-29,11686
Climate and Energy,2019-10-29,10231
Defense,2019-10-29,21692
Taxes,2019-10-29,12137
Poverty,2019-10-29,2106
Healthcare,2019-10-29,9579
Economic Inequality,2019-10-29,1203
Civil Rights & Discrimination,2019-10-29,3385
Labor Rights ,2019-10-29,4062
Education & Student Debt,2019-10-29,21366
Economy,2019-10-30,9680
Climate and Energy,2019-10-30,5366
Defense,2019-10-30,32476
Taxes,2019-10-30,7774
Poverty,2019-10-30,2507
Healthcare,2019-10-30,12664
Economic Inequality,2019-10-30,927
Civil Rights & Discrimination,2019-10-30,3887
Labor Rights ,2019-10-30,4137
Education & Student Debt,2019-10-30,20062
Economy,2019-10-31,14194
Climate and Energy,2019-10-31,4965
Defense,2019-10-31,18909
Taxes,2019-10-31,8601
Poverty,2019-10-31,2006
Healthcare,2019-10-31,16752
Economic Inequality,2019-10-31,1028
Civil Rights & Discrimination,2019-10-31,5617
Labor Rights ,2019-10-31,2884
Education & Student Debt,2019-10-31,6695
Economy,2019-11-01,50884
Climate and Energy,2019-11-01,3912
Defense,2019-11-01,6821
Taxes,2019-11-01,58658
Poverty,2019-11-01,2583
Healthcare,2019-11-01,87724
Economic Inequality,2019-11-01,8125
Civil Rights & Discrimination,2019-11-01,4188
Labor Rights ,2019-11-01,1780
Education & Student Debt,2019-11-01,12388
Economy,2019-11-02,29968
Climate and Energy,2019-11-02,5993
Defense,2019-11-02,7147
Taxes,2019-11-02,45868
Poverty,2019-11-02,2307
Healthcare,2019-11-02,50808
Economic Inequality,2019-11-02,3034
Civil Rights & Discrimination,2019-11-02,4137
Labor Rights ,2019-11-02,4639
Education & Student Debt,2019-11-02,8050
Economy,2019-11-03,19636
Climate and Energy,2019-11-03,2909
Defense,2019-11-03,4489
Taxes,2019-11-03,30169
Poverty,2019-11-03,1956
Healthcare,2019-11-03,33579
Economic Inequality,2019-11-03,9153
Civil Rights & Discrimination,2019-11-03,10106
Labor Rights ,2019-11-03,3536
Education & Student Debt,2019-11-03,8175
Economy,2019-11-04,29868
Climate and Energy,2019-11-04,11285
Defense,2019-11-04,4764
Taxes,2019-11-04,38670
Poverty,2019-11-04,7322
Healthcare,2019-11-04,30846
Economic Inequality,2019-11-04,3335
Civil Rights & Discrimination,2019-11-04,14695
Labor Rights ,2019-11-04,3510
Education & Student Debt,2019-11-04,16175
Economy,2019-11-05,18984
Climate and Energy,2019-11-05,7799
Defense,2019-11-05,4614
Taxes,2019-11-05,14620
Poverty,2019-11-05,10708
Healthcare,2019-11-05,19460
Economic Inequality,2019-11-05,1630
Civil Rights & Discrimination,2019-11-05,11009
Labor Rights ,2019-11-05,2532
Education & Student Debt,2019-11-05,10507
Economy,2019-11-06,12163
Climate and Energy,2019-11-06,9028
Defense,2019-11-06,7724
Taxes,2019-11-06,15222
Poverty,2019-11-06,5416
Healthcare,2019-11-06,13065
Economic Inequality,2019-11-06,6294
Civil Rights & Discrimination,2019-11-06,6094
Labor Rights ,2019-11-06,2131
Education & Student Debt,2019-11-06,5040
Economy,2019-11-07,19335
Climate and Energy,2019-11-07,8050
Defense,2019-11-07,7197
Taxes,2019-11-07,43862
Poverty,2019-11-07,25905
Healthcare,2019-11-07,17680
Economic Inequality,2019-11-07,32050
Civil Rights & Discrimination,2019-11-07,14670
Labor Rights ,2019-11-07,2382
Education & Student Debt,2019-11-07,8476
Economy,2019-11-08,19912
Climate and Energy,2019-11-08,13040
Defense,2019-11-08,18332
Taxes,2019-11-08,25630
Poverty,2019-11-08,33605
Healthcare,2019-11-08,22043
Economic Inequality,2019-11-08,23222
Civil Rights & Discrimination,2019-11-08,7473
Labor Rights ,2019-11-08,2432
Education & Student Debt,2019-11-08,12739
Economy,2019-11-09,16501
Climate and Energy,2019-11-09,26909
Defense,2019-11-09,19912
Taxes,2019-11-09,12614
Poverty,2019-11-09,12163
Healthcare,2019-11-09,22721
Economic Inequality,2019-11-09,15999
Civil Rights & Discrimination,2019-11-09,13141
Labor Rights ,2019-11-09,1579
Education & Student Debt,2019-11-09,9253
Economy,2019-11-10,14996
Climate and Energy,2019-11-10,12815
Defense,2019-11-10,12188
Taxes,2019-11-10,9680
Poverty,2019-11-10,5993
Healthcare,2019-11-10,12388
Economic Inequality,2019-11-10,12664
Civil Rights & Discrimination,2019-11-10,9053
Labor Rights ,2019-11-10,6470
Education & Student Debt,2019-11-10,4188
Economy,2019-11-11,12463
Climate and Energy,2019-11-11,7874
Defense,2019-11-11,52815
Taxes,2019-11-11,13918
Poverty,2019-11-11,2683
Healthcare,2019-11-11,10006
Economic Inequality,2019-11-11,8501
Civil Rights & Discrimination,2019-11-11,9228
Labor Rights ,2019-11-11,2432
Education & Student Debt,2019-11-11,5617
Economy,2019-11-12,11159
Climate and Energy,2019-11-12,7724
Defense,2019-11-12,22094
Taxes,2019-11-12,12940
Poverty,2019-11-12,1855
Healthcare,2019-11-12,17780
Economic Inequality,2019-11-12,7373
Civil Rights & Discrimination,2019-11-12,7448
