document,topic,gamma,text
345,5,0.997211676, Distinction should he be impeached and should he be thrown out of office? That's one question. He's very close to  he's indicted himself. Number two after he's thrown out of office or after he's defeated should he be then prosecuted? Should he be prosecuted for a criminal offense while he was president? That's a judgment to be made by an attorney general.
346,5,0.998341084, Yeah I was. I think it is the existential threat to humanity. It's the numberone issue. And I might add I don't really need a kind of a lecture from  from my friend. While I was passing the first climate change bill and that PolitiFact said was a gamechanger while I managed the $90 billion recovery plan investing more money in infrastructure that related to clean energy than any time we've ever done it my friend was introducing more coal mines and produced more coal around the world
347,5,0.994004598,Now he's  I welcome him back into the fold here and he's been there for a long while. But the idea that we talk about where we started and how we are let's get this straight. I think it is the existential threat of all time.
353,5,0.995436198,And I would also as pointed out I would end  end subsidies that we have end the sale of material to the Saudis where they're going in and murdering children and they're murdering innocent people. And so they have to be held accountable.
377,5,0.994572145,I've met with the union leaders. For example we should in fact be making that  making sure right now that every new building built is energy contained that it doesn't leak energy that
383,5,0.987436035,But the fact is we have to  we have to be able to get things done. And when we can't convince them we go out and beat them like we did in the 2018 election in red states and in purple states.
385,5,0.996735411,Look what we have done around the world in terms of keeping Guantanamo open or what Trump has done by no longer being an honest broker in Israel there's no solution for Israel other than a twostate solution. It does not exist. It's not possible to have a Jewish state in the Middle East without there being a twostate solution.
386,5,0.994004598,And he has played to all the same fears and all the prejudices that exist in this country and in Israel. Bibi Netanyahu and I know one another well. He knows that I think what he's doing is outrageous.
387,5,0.994572145,What we do is we have to put pressure constantly on the Israelis to move to a twostate solution not withdraw physical aid from them in terms of their security.
402,5,0.963331876, More like Winston Churchill.
406,5,0.991264347, No I'm not willing to commit one way or another. Here's the deal. I'm not even elected one term yet and let's see where we are. Let's see what happens.
407,5,0.898283932,But it's a nice thought.
421,5,0.835123035, I'm talking about the White House.
10,6,0.989694234,And secondly secondly to make sure that everyone does have an option. Everyone whether they have private insurance employer insurance or no insurance they
12,6,0.987436035,I'm sorry. I beg your pardon. I didn't hear.
20,6,0.898283932,That is outrageous.
21,6,0.996315899,Depending if they committed a'a major crime they should be deported. And the President was left in his'President Obama I think did a heck of a job. To compare him to what'what this guy is doing is absolutely I find'
27,6,0.996315899,But'so the bottom line here is look everything I have done in my career'I ran because of civil rights. I continue to think we have to make fundamental changes in civil rights. And those civil rights by the way include not just African Americans
36,6,0.643579329,But sometimes you can't do that. Sometimes you just have to go out and beat them. I went into 20 states over 60 candidates'
42,6,0.997757044,And new science and technology to be the exporter not only of the green economy but economy that can create millions of jobs. But I would immediately rejoin the Paris Climate Accord. I would up the ante in that accord which it calls for because we make up 15 percent of the problem; 85 percent of the world makes up the rest. And so we have to have someone who knows how to corral the rest of the world bring them together
59,6,0.991264347,Mr. President this is America. And we are stronger and great because of this diversity Mr. President not in spite of it Mr. President.
67,6,0.993304504,It would take place immediately. It would move quickly. And it would insure the vast vast vast majority of Americans.
69,6,0.993304504, My plan makes a limit of copay to be $10 because we further support the  the ability to buy into the Obamacare plan.
70,6,0.994004598,Secondly the idea that this is somehow a bad idea no one has to keep their private insurance but they  if they like their insurance they should be able to keep it. Nothing is demanded in my plan that there be private insurance.
71,6,0.991264347,It says if the 160 million who have it say they like their employer insurance they should have a right to have it. If they don't they can buy into the  plan which is Obamacare with 
72,6,0.995436198,My plan does  will cover everyone number one. Number two the fact is that my plan also calls for controlling drug prices. The biopharma is now where things are going to go. It's no longer chemicals. It's about all these breakthroughs that we have with the whole  excuse me immune system.
73,6,0.995436198,And what we have to do now is we have to have a form that sits in HHS and says as you develop a drug you got to come to us and decide what you can sell it for. We will set the price. And secondly it says that you cannot raise that price beyond the cost of inflation from this point on.
74,6,0.996538319,This is not a Republican talking point. The Republicans are trying to kill Obamacare. Obamacare took care of 20 million people right off the bat 100 million people with preexisting conditions. And in fact what we got is a public option that in fact would allow anybody to buy in.
75,6,0.996538319,No one has to keep their private insurance. They can buy into this plan. And they can buy into it with $1000 deductible and never have to pay more than 8.5 percent of their income when they do it. And if they don't have any money they'll get in free. So this idea is a bunch of malarkey what we're talking about here.
78,6,0.993304504,Number two we should put some of these insurance executives who totally oppose my plan in jail for of the $9 billion opioids they sell out there.
82,6,0.898283932,Three million 
84,6,0.898283932,Three million 
85,6,0.977634638,I don't know if you can hear. I can hear. But anyway
106,6,0.987436035, The fact is that the bills that the president  that excuse me the future president here  that
107,6,0.995041532, that the senator is talking about are bills that were passed years ago and they were passed overwhelming. Since 2007 I for example tried to get the crackpowdercocaine totally  disparity totally eliminated.
130,6,0.993304504,Secondly I was part of the organization  and within our administration  that pushed bailing General Motors out saving tens of thousands of jobs here in this state.
133,6,0.997211676, I'd renegotiate. We make up 25 percent of the world's economy. In order  either China is going to write the rules of the road for the 21st century on trade or we are. We have to join with the 40 percent of the world that we had with us and this time make sure that there's no one sitting at that table doing the deal unless environmentalists are there and labor is there.
134,6,0.995436198,And to make sure we equip our workers first to compete by investing in them now in the things that make them more competitive. That's what we have to do. Otherwise they are going to write the rules of the road. We must have the rest of the world join us to keep them in check from abusing.
144,6,0.995772669,I support making sure that every single solitary person needing childcare get an $8000 tax credit now. That would put 700000 women back to work increase the GDP by almost 8/10 of 1 percent. It's the right thing to do if we can give tax breaks to corporations for these things why can't we do it this way?
152,6,0.995772669,I support a woman's right to choose. I support it's a constitutional right. I've supported it and I will continue to support it and I will in fact move as president to see to it that the Congress legislates that that is the laws as well.
164,6,0.993304504,Democratic presidential candidates debate in Houston. (Win Mcnamee/Getty Images)
165,6,0.997211676, That will be for the voters to decide that question. Let me tell you what I think. I think we should have a debate on health care. I think ' I know that the senator says she's for Bernie well I'm for Barack. I think the Obamacare worked. I think the way we add to it replace everything that has been cut add a public option guarantee that everyone will be able to have affordable insurance
175,6,0.977634638, One hundred fortynine million.
182,6,0.898283932, You just described my plan.
183,6,0.963331876, They do not have to buy in. They do not have to buy in.
233,6,0.994004598, Yeah well look we're either going to make policy or China's going to make the rules of the road. We make up 25 percent of the world economy. We need another 25 percent to join us.
243,6,0.995436198,I said ' from that point on ' what I was argued against in the beginning once he started to put the troops in was that in fact we were doing it the wrong way; there was no plan; we should not be engaged; we didn't have the people with us; we didn't have our ' we didn't have allies with us et cetera.
250,6,0.997665732,It's not want they don't want to help. They don't ' they don't know quite what to do. Play the radio make sure the television ' excuse me make sure you have the record player on at night the ' the ' make sure that kids hear words. A kid coming from a very poor school ' a very poor background will hear 4 million words fewer spoken by the time they get there.
251,6,0.963331876, There's so much we ' no I'm going to go like the rest of them do twice over okay?
266,6,0.997665732,On the ' look the fact that George Washington worried on the first time he spoke after being elected president that what we had to worry about is foreign interference in our elections it was the greatest threat to America. This president on three occasions ' three occasions ' has invited foreign governments and heads of government to get engaged in trying to alter our elections. The fact is that it is outrageous.
275,6,0.99691127, No look demonizing wealth  what I talked about is how you get things done. And the way to get things done is take a look at the tax code right now. The idea  we have to start rewarding work not just wealth. I would eliminate the capital gains tax  I would raise the capital gains tax to the highest rate of 39.5 percent.
313,6,0.983910504, We can do that without Medicare for all. We can do that by adding a public option.
330,6,0.996735411,And by the way I learned something about these impeachment trials. I learned number one that Donald Trump doesn't want me to be the nominee. That's pretty clear. He held up aid to make sure that  while at the same time innocent people in the Donbas are getting killed by Russian soldiers.
333,6,0.797299164, You know we can do this without charging people  raising $30 trillion $40 trillion. The fact is that right now the vast majority of Democrats do not support Medicare for all.
335,6,0.997665732,We should build on Obamacare provide the plan I put forward before anybody in here adding a Medicare option in that plan and not make people choose. Allow people to choose I should say. If you go the route of my two friends on my right and my left you have to give up your private insurance. A hundred and sixty million people like their private insurance. And if they don't like it
342,6,0.996315899,And I don't think it's a good idea that we mock  that we model ourselves after Trump and say lock him up. Look we have to bring this country together. Let's start talking civilly to people and treating  you know the next president starts tweeting should  anyway.
365,6,0.99241929,But one thing we haven't talked about here today we haven't talked  we talked about everything but we haven't talked about the one thing I think is most consequential.
381,6,0.995041532,Number two with Trump out of the way it's not going to change things in a fundamental way. But what it will do is it will mean that we're in a position where he's not going to be able to intimidate the base his base is not going to be able to intimidate those half a dozen Republicans we may need in other things.
382,6,0.996062934,I refuse to accept the notion as some on this stage do that we can never never get to a place where we have cooperation again. If that's the case we're dead as a country. We need to be able to reach a consensus. And if anyone has reason to be angry with the Republicans and not want to cooperate it's me the way they've attacked me
384,6,0.994004598, We attempted to close Guantanamo Bay but you have to have congressional authority to do it. They've kept it open. And the fact is that we in fact think it's greatest  it is an advertisement for creating terror.
392,6,0.995772669,And what we started in our administration that Trump stopped we should be moving 60 percent of our sea power to that area of the world to let in fact the Chinese understand that they're not going to go any further. We are going to be there to protect other folks.
423,6,0.996538319, I don't think it is realistic but let me explain why. I introduced a plan to build on Obamacare. Remind everybody 20 million people got insurance who didn't have it before. All people with preexisting conditions were able to be covered. I could go on. We didn't get all that we wanted.
432,6,0.99691127,The idea that you're going to be able to save that person making $60000 a year on Medicare for all is absolutely preposterous. Sixteen percent of the American public is on Medicare now and everybody has a tax taken out of their paycheck now. Tell me you're going to add 84 percent more and there's not going to be higher taxes? At least before he was honest about it.
14,7,0.995041532,Yes. You cannot let'as the mayor said you cannot let people who are sick no matter where they come from no matter what their status go uncovered. You can't do that. It's just going to be taking care of period. You have to. It's the humane thing to do.
26,7,0.996062934,when in fact my city was in flames because of the'the assassination of Dr. King number one. Now number two as the U.S.'as'excuse me'as the vice president of the United States I worked with a man who in fact we worked very hard to see to it we dealt with these issues in a major
34,7,0.898283932,Can I respond'
35,7,0.998291658,I have seen what happened just sense we were vice president. We needed three votes to pass an $800 billion recovery act that kept us from going into depression. I got three votes changed. We needed to be able to keep the government from shutting down and going bankrupt. I got Mitch McConnell to raise taxes $600 billion by raising the top rate. And as recently as after the President got elected I was able to put together a coalition on the Cures Act that billions of dollars go into cancer research bipartisan.
44,7,0.991264347,I don't'I don't buy that. The first'the first thing I would do is make sure that we defeat Donald Trump.
60,7,0.963331876,So Mr. President let's get something straight:
87,7,0.996735411,The fact is what the senator from New York talked about is seeking asylum. That woman the women she spoke to are entitled to asylum. That is not crossing the border illegally. What we should do is flood the zone to make sure we have people to make those decisions quickly.
90,7,0.996315899,In addition to that we're in a circumstance where if in fact you say you can just cross the border what do you say to all those people around the world who in fact want the same thing to come to the United States and make their case that they don't  that they have to wait in line. The fact of the matter is you should be able to  if you cross the border illegally you should be able to be sent back. It's a crime. It's a crime
92,7,0.997757044,I have guts enough to say his plan doesn't make sense. Here's the deal. The fact of the matter is that in fact when people cross the border illegally it is illegal to do it unless they're seeking asylum. People should have to get in line. That's the problem. And the only reason this particular part of the law is being abused is because of Donald Trump. We should defeat Donald Trump and end this practice.
96,7,0.99691127, The president came along and he's the guy that came up with the idea the first time ever dealing with the dreamers. He put that in the law. He had talked about a comprehensive plan which he put on the  laid before the Congress saying that we should find a pathway to citizenship for people. He said we should up the number of people that we're able to bring in to this country.
118,7,0.995041532,And the fact was that she in fact was told by her own people that her own staff that she should do something about and disclose to defense attorney's like me that you in fact have been  the police officer did something that did not give you information of what  your  your client. She didn't do that. She never did it. And so what happened.
122,7,0.963331876, I also invested $400 billion 
126,7,0.996315899, My plan calls for 500000 charging stations around the country so by 2030 we're all electric vehicles. My plan calls for making sure that we have $400 billion invested in technologies to learn how to contain what we're doing creating 10 million new jobs.
132,7,0.995041532,We invested significantly in this city when transportation only  anyway the point is we've made significant investment in this state. I expect in this city  I suspect that's why the mayor endorsed me.
138,7,0.977634638, No he said would I insist that labor be engaged?
146,7,0.995041532, The very beginning my deceased wife worked when we had children. My present wife has worked all the way through raising our children. The fact of the matter is the situation is one that I don't know what's happened.
189,7,0.996538319, Well first of all let me say that when I came back from law school I had a job with a great ' a bigtime law firm. I left and became a public defender because my state was under siege when Dr. King was assassinated. We were occupied by the National Guard for 10 months.
195,7,0.993304504, have access to be able to move along the way. I've laid out a detailed plan along those lines. And the fact is we've learned so much more more
223,7,0.983910504, I'm the vice president of the United States.
225,7,0.987436035, Secretary Castro would you want to respond to Vice President ?
234,7,0.997919791,And I think Elizabeth ' Senator Warren is correct. At the table has to be labor and at the table have to be environmentalists. The fact of the matter is China ' the problem isn't the trade deficit the problem is they're stealing our intellectual property. The problem is they're violating the WTO. They're dumping steel on us. That's a different issue than whether or not they're dumping agricultural products on us.
289,7,0.977634638, No no I'm not. No I'm not. I'm not.
304,7,0.99691127,I want to point out that the justices I've supported when I defeated Robert Bork  and I say when I defeated Robert Bork I made sure we guaranteed a woman's right to choose for the better part of a generation. I would make sure that we move and insist that we pass we codify Roe v. Wade.
328,7,0.994572145, Well look the next president of the United States is going to have to do two things. Defeat Donald Trump that's number one. And number two going to have to be able make be  be able to go into states like Georgia and North Carolina and other places and get a Senate majority. That's what I'll do.
338,7,0.996315899,I've done it. I've brought people together. I'm always told by everybody around here things have changed you can't do that anymore. If we can't  I thought the question was initially asked of the senator how do you unify this country? We have to unify this country. I have done it. I have done it repeatedly.
341,7,0.995041532,And so I would  whatever was determined by the attorney general I supported that I appointed let them make an independent judgment. If that was the judgment that he violated the law and he should be in fact criminally prosecuted then so be it. But I would not direct it.
344,7,0.963331876, Can I respond very quickly?
357,7,0.997069151,We do not spend nearly enough time dealing with  I was stunned when I did a virtual town meeting that told me 30000 people were on the call young people between 15 and 25 and found out I said what do you need  what do you need to make you safer on college campuses and on your schools? You know what they said? Get men involved engage the rest of the community.
361,7,0.996538319,Secondly I'm  you know I'm part of that Obama coalition. I come out of a black community in terms of my support. If you notice I have more people supporting me in the black community that have announced for me because they know me they know who I am. Three former chairs of the black caucus
363,7,0.994004598,So my point is  my point is that one of the reasons I was picked to be vice president was because of my relationship longstanding relationship with the black community. I was part of that coalition.
379,7,0.99756667,For example we shouldn't build another new highway in America that doesn't have charging stations on it. We have an opportunity to put 550000 charging stations so that we own the electrical vehicle market creating millions of jobs for people installing them as well as making sure that we own the electric vehicle market. There are so many things we can do and we have to make sure we explain it to those people who are displaced
389,7,0.994004598,  Senator Warren is correct. We have led by not the example of our power but the power of our example. And the example we're demonstrating now is horrible. It's hurting us badly.
404,7,0.963331876, I was joking. That was a joke.
439,7,0.995772669,Look we all have big progressive plans. And the question is who can deliver on those plans? And it seems to me we have to ask ourselves three questions straight up and honestly. Who has the best chance the most likely chance of defeating Donald Trump? Who is the one who's most likely to do that?
18,8,0.998239197,The first thing I would do is unite families. I would surge immediately billions of dollars' worth of help to the region the immediately. Look I talk about foreign policy. I am the guy that got a bipartisan agreement at the very end of the campaign at the very end of our term to spend $740 million to deal with the problem and that was to go to the root cause of why people are leaving in the first place. It was working. We saw as you know a net decrease in the number of children who were coming. The crisis was updated and along came this President and he said he immediately discontinued that. We all talk about these things I did it. I did it.
23,8,0.685397626,That person should not be the focus of deportation. We should fundamentally change the way we deal with things.
33,8,0.983910504,The first constitutional amendment to do that was introduced by me when I was a young senator.
41,8,0.983910504,The first constitutional amendment to do that was introduced by me when I was a young senator.
49,8,0.989694234,We know NATO will fall apart if he is elected for more years it is the single most consequential alliance'
50,8,0.997069151,Because once we'once Bush abuse that power what happened was we got elected after that. I made sure the president turned to me and said Joe get our combat troops out of Iraq. I was responsible for getting 150000 combat troops out of Iraq and my son was one of them. I also think we should not have combat troops in Afghanistan. It's long overdue. It should end.
61,8,0.983910504, We love it. We are not leaving it. We are here to stay. And we're certainly not going to leave it to you.
62,8,0.991264347, Well my response is that the senator has had several plans so far. And any time someone tells you you're going to get something good in 10 years you should wonder why it takes 10 years.
76,8,0.997841481,The fact of the matter is  the fact of the matter is that there will be a deductible. It will be a deductible on their paycheck. Bernie acknowledges it. Bernie acknowledges it. Thirty trillion dollars has to ultimately be paid. And I don't know what math you do in New York I don't know what math you do in California but I tell ya that's a lot of money and there will be a deductible. The deductible will be out of your paycheck because that's what will be required.
77,8,0.994572145,Real quick. I have the only plan that limits the ability of insurance companies to charge unreasonable prices flat out number one.
95,8,0.987436035, And by the way anybody that crosses the stage with a  with a  with a PhD you should get a green card for seven years. We should keep them here.
97,8,0.994004598,Lastly he also pointed out that we should go to the source of the problem and fix it where people were leaving in the first place. So he did  to compare him to Donald Trump I think is absolutely bizarre.
116,8,0.995041532, When Senator Harris was attorney general for eight years in the state of California there were two of the most segregated school districts in the country in Los Angeles and in San Francisco.
124,8,0.963331876, And that's bigger than any other person.
125,8,0.898283932, No I didn't say that.
141,8,0.963331876, Well I tell you what I hope you're part of it.
153,8,0.987436035, Because there was not full federal funding for all reproductive services prior to this point.
154,8,0.996538319," I did make a bad judgment trusting the president saying he was only doing this to get inspectors in and get the U.N. to agree to put inspectors in. From the moment ""shock and awe"" started from that moment I was opposed to the effort and I was outspoken as much as anyone at all in the Congress and the administration."
155,8,0.997340982,Secondly I was asked by the president in the first meeting we had on Iraq he turned and said Joe get our combat troops out in front of the entire national security team. One of the proudest moment of my life was to stand there in AlFaw Palace and tell everyone that we're coming  all our combat troops are coming home.
160,8,0.977634638,If you agree with me go to joe30330 and help me in this fight. Thank you very much.
169,8,0.996735411, Okay number one my health care plan does significantly cut the costs of ' the largest outofpocket payment you'll pay is $1000. You'll be able to get into a ' anyone who can't afford it gets automatically enrolled in the Medicaretype option we have et cetera.
184,8,0.963331876, Do not have to buy in if you can't afford it.
185,8,0.989694234, Your grandmother would not have to buy in. If she qualifies for Medicaid she would automatically be enrolled.
186,8,0.963331876, I said anyone like your grandmother who has no money.
187,8,0.977634638, She ' you're automatically enrolled.
210,8,0.995436198, What Latinos should look at is ' comparing this president to the president we have is outrageous number one. We didn't lock people up in cages. We didn't separate families. We didn't do all of those things number one.
215,8,0.898283932,RAMOS:
218,8,0.898283932,RAMOS:
221,8,0.898283932,RAMOS:
224,8,0.898283932,RAMOS:
229,8,0.898283932,RAMOS:
244,8,0.994572145,"And it was later when we came into office that Barack turned ' the president turned to me and said ""Joe"" ' when they said we've got a plan to get out he turned to the whole security and said ""Joe will organize this. Get the troops home."""
246,8,0.898283932, You're right.
254,8,0.987436035, I ' I never counted any professional setback like I have as a serious setback. There's things that are important. Things that are unimportant.
259,8,0.994004598,And then later when my son Beau came home from Iraq and ' with a terminal disease and a year later yearandahalf later losing him was like losing part of my soul.
260,8,0.99756667,But the fact is that I learned that the way you deal with it is you deal with finding purpose purpose in what you do. And that's why I hope ' I hope he's proud of me today because he wanted to make sure I didn't run for president but I stayed engaged because when you get hit badly whether you're losing a job or you're raising a family like my dad
261,8,0.99756667,And it just takes ' it just ' for me the way I've dealt with it is finding purpose. And my purpose is to do what I've always tried to do and stay engaged in public policy. And ' but there's a lot of people been through a lot worse than I have who get up every single morning put their feet one foot in front of another without the help I had. There are real heroes out there. Some real heroes.
263,8,0.995772669,This president ' and I agree with Bernie Senator Sanders ' is the most corrupt president in modern history and I think all of our history. And the fact is that this president of the United States has gone so far as to say since this latest event that in fact he will not cooperate in any way at all
267,8,0.995772669,Rudy Giuliani the president and his thugs have already proven that they in fact are flat lying. What we have to do now is focus on Donald Trump. He doesn't want me to be the candidate. He's going after me because he knows if I get the nomination
290,8,0.996315899, But here  look but here's the deal. Think what that did. He turns around and he questions whether or not he'll keep the sacred commitment of Article 5 for the NATO members. If he is reelected I promise you there will be no NATO. Our security will be vastly underrated under  we will be in real trouble.
305,8,0.995436198,The public is already there. Things have changed. And I would go out and I would campaign against those people in the state of Ohio Alabama et cetera who in fact are throwing up this barrier. Reproductive rights are a constitutional right. And in fact every woman should have that right.
315,8,0.898283932, And we can afford to do it.
321,8,0.898283932, I did not say back to normal.
380,8,0.995436198, Look I didn't say return to normal. Normal's not enough. Normal  in fact we have to move beyond normal whether it's health care the environment whatever it is. We have to build on what we had started in our administration
403,8,0.643579329, Oh American history.
410,8,0.996062934,And I have made sure that you know exactly where all the  and the largest contribution I have accepted is $2800 which is allowed under law. And I'm the first person to introduce the constitutional amendment to make sure that there is no  all public funding of elections. End all private funding.
411,8,0.99241929,And we all should take a commitment make a commitment to that right now on this stage. In the meantime you got to fund a campaign and we in fact have funded a campaign
437,8,0.995041532,The little kid who says I can't talk what do I do? I have scores of these young women and men who I keep in contact with. And the reason I would give everyone here a gift is because they want to do something like I do of making their lives better because there's a lot of people who are hurting very very very badly.
438,8,0.977634638, I want to thank everyone listening seven days out from Christmas. Thank you very much.
3,9,0.997211676,What I am saying is that we've got to be straightforward. We have to make sure we understand that to return dignity to the middle class they have to have insurance that is covered and they can afford it. They have to make sure that we  situation where there's continuing education and they are able to pay for it and they have to make sure that they are able to breathe air that is'is'is clean and they'they have water that they can drink.
4,9,0.997069151,Look Donald Trump has put us in a horrible situation. We do have enormous income inequality and one thing I agree honestly can make massive cuts in the $1.6 trillion in tax loopholes out there and I would be going about eliminating Donald Trump's tax cuts for the wealthy.
29,9,0.987436035,Because your city council made that decision. It was a local decision.
30,9,0.977634638,The'the federal government must'
47,9,0.996315899,Number two we increased that background check when'when'during the Obama administration. I'm also the only guy that got assault weapons banned banned and the number of clips in a gun banned. And so folks look
81,9,0.995772669,Absolutely not number one. Number two everything landed on the president's desk but locusts. I found that Julian  excuse me  the secretary we sat together in many meetings. I never heard him talk about any of this when he was the secretary.
101,9,0.994572145,(Inaudible) that's what we're talking about. That's what made us great. And the fact of the matter is I think the president of the United States Barack Obama went out of his way to try to change the system and he got pushed back significantly.
108,9,0.998060518,In 2007 you became mayor and you had a police department that was  you went out and you hired Rudy Giuliani's guy; you  and engaged in stopandfrisk. You had 75 percent of those stops reviewed as illegal. You found yourself in a situation where three times as many AfricanAmerican kids were caught in that chain and caught up. The Justice Department came after you for saying you were  you were engaging in behavior that was inappropriate and then in fact nothing happened the entire time you were mayor.
114,9,0.996315899,Number two we in fact insisted that we change the rules that police engage in. They had to have  we provided for body cameras. We made sure  there were a lot of things that were changed in the process but 38000 people in the federal system were released under the system.
115,9,0.997757044,And so the fact is that there's a lot we've done. But here's the deal. The fact is that we're talking about things that occurred a long long time ago. And now all of a sudden you know  I find it fascinating. Everybody is talking about how terrible I am on these issues. Barack Obama knew exactly who I was. He had 10 lawyers do a background check on everything about me on civil rights and civil liberties and he chose me and he said it was the best decision he made. I'll take his judgment.
117,9,0.994572145,And she did not  I didn't see a single solitary time she brought a case against them to desegregate them. Secondly she also was in a situation where she had a police department when she was there that in fact was abusing people's right.
142,9,0.993304504, That was a long time ago and here's what it was about. It would have given people making today $100000 a year a tax break for childcare. I did not want that. I wanted the childcare to go to people making less than $100000. And that's what it was about.
149,9,0.898283932, I never believed it.
158,9,0.996538319,Look I've said it many times and I think everyone agrees with this. We're in a battle for the soul of America. This is the most consequential election anyone of you no matter how old or young you are has ever ever participated in. Four more years of Donald Trump will go down as an aberration  hard to overcome the damage he's done
159,9,0.997340982,Everybody knows who Donald Trump is. We have to let him know who we are. We choose science over fiction. We choose hope over fear. We choose unity over division. And we choose  we choose the idea that we can as Americans when we act together do anything. This is the United States of America. When we've acted together we have never never never been unable to overcome whatever the problem was.
168,9,0.995772669,I have a bold plan to deal with making sure we triple the money for atrisk schools that are Title I schools from 15 to $45 billion a year. But I go down the line and these are things we're talking about I lay out how I can pay for it how I can get it done and why it's better.
178,9,0.996735411,And if you notice nobody's yet said how much it's going to cost the taxpayer. I hear this large savings the president thinks ' my friend from Vermont thinks that the employer's going to give you back if you negotiated as a union all these years got a cut in wages because you got insurance. They're going to give back that money to the employee?
188,9,0.963331876, That'll be a surprise to him.
212,9,0.792080949,What I would do as president is several more things because things have changed. I would in fact make sure that there is ' we immediately surge to the border. All those people who are seeking asylum they deserve to be heard. That's who we are. We're a nation who says if you want to flee
214,9,0.995436198,And by the way retrospectively you know the 25th anniversary of the Violence Against Women Act is up. The Republican Congress has not reauthorized it. Let's put pressure on them to pass the Violence Against Women Act. Now  back
228,9,0.99241929, I did not say I don't ' I stand with Barack Obama all eight years good bad and indifferent. That's where I stand. I did not say I did not stand with him.
230,9,0.995436198, Okay Senator Warren hundreds of children have been separated from their parents at the border. And recently in Mississippi we saw the largest immigration raid in a decade.
248,9,0.994004598,Number two make sure that we bring in to help the teachers deal with the problems that come from home. The problems that come from home we need ' we have one school psychologist for every 1500 kids in America today. It's crazy.
274,9,0.898283932, We can stand up to them.
277,9,0.977634638,Secondly the idea that we in fact engage in this notion that there are  there's $16400
287,9,0.995041532,But the fact of the matter is we have been unwilling in this administration because we have an erratic crazy president who knows not a damn thing about foreign policy and operates out of fear for his own reelection.
291,9,0.996062934,And with regard to regime change in Syria that has not been the policy we change the regime. It has been to make sure that the regime did not wipe out hundreds of thousands of innocent people between there and the Iraqi border.
299,9,0.995041532,I know what has to be done. I will not need any onthejob training the day I take office. And I will release my medical records as I have 21 years of my tax records which no one else on this stage has done so that you can have full transparency as to my health and what I am doing.
323,9,0.997211676,The two people maybe would surprise you the most were  he's been mentioned twice but John McCain. John McCain worked for me when he worked in the Navy and he was  he was my assigned to me to travel around the world. We became close friends. He became very close friends with my wife Jill. Visited our home. He was there with his children.
339,9,0.996315899,And lastly to be commanderinchief there's no time for onthejob training. I've spent more time in the Situation Room more time abroad more time than anybody up here. I know every major world leader. They know me and they know when I speak
351,9,0.997211676,But the fact is that we're in a position where he has done this across the world. He's embraced thugs. Look what Putin is doing in Europe. Putin is  his whole effort is to break up NATO to increase his power. Look what he's done to  and so this guy has no idea what he's doing. He has no notion how to go about it. And we need a commanderinchief who when he stands everybody knows what he or she is talking about.
359,9,0.994004598, I'll be very brief. Number one I think we should decriminalize marijuana period. And I think everyone  anyone who has a record should be let out of jail their records expunged be completely zeroed out.
364,9,0.995041532, I assume we're only talking about the corruption of the federal government. We weren't talking about Barack Obama and his spotless administration who made so much progress.
391,9,0.99241929, It's on a collision course with China but not for war. What we have to make clear is that we in fact are not going to abide by what they've done. A million Uighurs as you pointed out Muslims
397,9,0.983910504, And I'm going to guess he wasn't talking about me either.
399,9,0.898283932,XXX about me either.
400,9,0.997665732, Number one. Look I'm running  I'm running because I've been around on my experience. With experience hopefully comes judgment and a little bit of wisdom. The fact is that we're in a position now the next president of the United States is going to inherit two things an economy that is out of kilter and a domestic policy that needs to be  where we have to unite America. And a foreign policy that requires somebody to be able to on day one stand up look out
420,9,0.991264347,That's been my position from the beginning. That's why I think Secretary Gates and some members of the Pentagon weren't happy with me.
422,9,0.996538319, Since 2009 go back and look. I was on the opposite side of that with the Pentagon. The only reason I can speak to it now is because it's been published. It's been published thoroughly. I'm the guy from the beginning who argued that it was a big big mistake to surge forces to Afghanistan period. We should not have done it. And I argued against it constantly.
429,9,0.898283932, My name was mentioned.
434,9,0.898283932, It's the first time I did this.
31,10,0.983910504,I have supported the ERA from the very beginning when I ran for .
32,10,0.997665732,I'I supported the ERA from the very beginning. I am the guy that extended the voting rights act for 25 years. We got to the place where we got 98 out of 98 votes in the United States Senate doing it. I have also argued very strongly that we in fact deal with the notion of denying people access to the ballot box. I agree that everybody once they in fact'my time is up. I'm sorry.
37,10,0.670758108,And guess what? We beat them. We won back the Senate.
39,10,0.983910504,I have supported the ERA from the very beginning when I ran for.
40,10,0.997665732,I'I supported the ERA from the very beginning. I am the guy that extended the voting rights act for 25 years. We got to the place where we got 98 out of 98 votes in the United States Senate doing it. I have also argued very strongly that we in fact deal with the notion of denying people access to the ballot box. I agree that everybody once they in fact'my time is up. I'm sorry.
51,10,0.997757044,And I thirdly I believe that you are not going to find anybody who has pulled together more of our alliances to deal with what is the real stateless threat out there. We cannot go it alone in terms of dealing with terrorism. So I would eliminate the'the act that allowed us to go into war and not the AU and fan make sure that it could only be used for what it's intended'what its intent was and that is to go after terrorist but never do it alone. That is why we have to repair our alliances. We put together 65 countries to make sure we dealt with ISIS in Iraq and other places. That is what I would do. That is what I have done and I know how to do it.
54,10,0.994572145,I am secondly running for President because I think we have to restore the backbone of America. The poor and hardworking middleclass people. You can't do that without replacing them with the dignity they once had.
